协议编号,借据编号,还款期数,应还日期,欠还利息,欠还本金,欠还本息,还款标志
220139593239,107,11,2019-03-30,3236.99,161044.42,164281.41,3
220139593239,107,12,2019-04-30,1626.56,162654.85,164281.41,3
180785670956,108,8,2018-09-27,1836.00,0.00,1836.00,3
180785670956,108,9,2018-10-27,1836.00,0.00,1836.00,3
180785670956,108,10,2018-11-27,1836.00,0.00,1836.00,3
180785670956,108,11,2018-12-27,1836.00,0.00,1836.00,3
180785670956,108,12,2019-01-27,1836.00,204000.00,205836.00,3
220176258010,103,15,2019-07-28,57.96,554.00,611.96,3
220176258010,103,16,2019-08-28,52.42,559.54,611.96,3
220176258010,103,17,2019-09-28,46.82,565.14,611.96,3
220176258010,103,18,2019-10-28,41.17,570.79,611.96,3
220176258010,103,19,2019-11-28,35.47,576.49,611.96,3
220176258010,103,20,2019-12-28,29.70,582.26,611.96,3
220176258010,103,21,2020-01-28,23.88,588.08,611.96,3
220176258010,103,22,2020-02-28,18.00,593.96,611.96,3
220176258010,103,23,2020-03-28,12.06,599.90,611.96,3
220176258010,103,24,2020-04-28,6.16,605.80,611.96,3
240810886171,105,5,2018-09-17,1524.44,15555.56,17080.00,3
240810886171,105,6,2018-10-17,1415.56,15555.56,16971.11,3
240810886171,105,7,2018-11-17,1306.67,15555.56,16862.22,3
240810886171,105,8,2018-12-17,1197.78,15555.56,16753.33,3
240810886171,105,9,2019-01-17,1088.89,15555.56,16644.44,3
240810886171,105,10,2019-02-17,980.00,15555.56,16535.56,3
240810886171,105,11,2019-03-17,871.11,15555.56,16426.67,3
240810886171,105,12,2019-04-17,762.22,15555.56,16317.78,3
240810886171,105,13,2019-05-17,653.33,15555.56,16208.89,3
240810886171,105,14,2019-06-17,544.44,15555.56,16100.00,3
240810886171,105,15,2019-07-17,435.56,15555.56,15991.11,3
240810886171,105,16,2019-08-17,326.67,15555.56,15882.22,3
240810886171,105,17,2019-09-17,217.78,15555.56,15773.33,3
240810886171,105,18,2019-10-17,108.89,15555.56,15664.44,3
060900193239,108,10,2019-01-17,6174.59,203775.10,209949.69,3
060900193239,108,11,2019-02-17,4136.84,205812.85,209949.69,3
060900193239,108,12,2019-03-17,2078.76,207870.93,209949.69,3
271000589102,109,4,2018-09-09,510.00,0.00,510.00,3
271000589102,109,5,2018-10-09,510.00,0.00,510.00,3
271000589102,109,6,2018-11-09,510.00,51000.00,51510.00,3
250804825245,108,1,2018-02-22,2970.00,48276.86,51246.86,3
250804825245,108,2,2018-03-22,2487.23,48759.63,51246.86,3
250804825245,108,3,2018-04-22,1999.64,49247.22,51246.86,3
250804825245,108,4,2018-05-22,1507.16,49739.70,51246.86,3
250804825245,108,5,2018-06-22,1009.77,50237.09,51246.86,3
250804825245,108,6,2018-07-22,507.36,50739.50,51246.86,3
251533251213,120,2,2018-04-07,4896.00,0.00,4896.00,3
251533251213,120,3,2018-05-07,4896.00,0.00,4896.00,3
251533251213,120,4,2018-06-07,4896.00,0.00,4896.00,3
251533251213,120,5,2018-07-07,4896.00,0.00,4896.00,3
251533251213,120,6,2018-08-07,4896.00,816000.00,820896.00,3
200417440082,114,7,2018-09-22,21836.25,134791.67,156627.92,3
200417440082,114,8,2018-10-22,20623.12,134791.67,155414.79,3
200417440082,114,9,2018-11-22,19410.00,134791.67,154201.67,3
200417440082,114,10,2018-12-22,18196.88,134791.67,152988.54,3
200417440082,114,11,2019-01-22,16983.75,134791.67,151775.42,3
200417440082,114,12,2019-02-22,15770.62,134791.67,150562.29,3
200417440082,114,13,2019-03-22,14557.50,134791.67,149349.17,3
200417440082,114,14,2019-04-22,13344.38,134791.67,148136.04,3
200417440082,114,15,2019-05-22,12131.25,134791.67,146922.92,3
200417440082,114,16,2019-06-22,10918.12,134791.67,145709.79,3
200417440082,114,17,2019-07-22,9705.00,134791.67,144496.67,3
200417440082,114,18,2019-08-22,8491.87,134791.67,143283.54,3
200417440082,114,19,2019-09-22,7278.75,134791.67,142070.42,3
200417440082,114,20,2019-10-22,6065.62,134791.67,140857.29,3
200417440082,114,21,2019-11-22,4852.50,134791.67,139644.17,3
200417440082,114,22,2019-12-22,3639.37,134791.67,138431.04,3
200417440082,114,23,2020-01-22,2426.25,134791.67,137217.92,3
200417440082,114,24,2020-02-22,1213.12,134791.67,136004.79,3
110206431171,107,4,2018-05-21,577.29,4312.81,4890.10,3
110206431171,107,5,2018-06-21,551.41,4338.69,4890.10,3
110206431171,107,6,2018-07-21,525.38,4364.72,4890.10,3
110206431171,107,7,2018-08-21,499.19,4390.91,4890.10,3
110206431171,107,8,2018-09-21,472.85,4417.25,4890.10,3
110206431171,107,9,2018-10-21,446.35,4443.75,4890.10,3
110206431171,107,10,2018-11-21,419.68,4470.42,4890.10,3
110206431171,107,11,2018-12-21,392.86,4497.24,4890.10,3
110206431171,107,12,2019-01-21,365.88,4524.22,4890.10,3
110206431171,107,13,2019-02-21,338.73,4551.37,4890.10,3
110206431171,107,14,2019-03-21,311.42,4578.68,4890.10,3
110206431171,107,15,2019-04-21,283.95,4606.15,4890.10,3
110206431171,107,16,2019-05-21,256.31,4633.79,4890.10,3
110206431171,107,17,2019-06-21,228.51,4661.59,4890.10,3
110206431171,107,18,2019-07-21,200.54,4689.56,4890.10,3
110206431171,107,19,2019-08-21,172.41,4717.69,4890.10,3
110206431171,107,20,2019-09-21,144.10,4746.00,4890.10,3
110206431171,107,21,2019-10-21,115.62,4774.48,4890.10,3
110206431171,107,22,2019-11-21,86.98,4803.12,4890.10,3
110206431171,107,23,2019-12-21,58.16,4831.94,4890.10,3
110206431171,107,24,2020-01-21,29.19,4860.91,4890.10,3
160413995463,117,1,2018-02-28,380.00,0.00,380.00,3
160413995463,117,2,2018-03-29,380.00,0.00,380.00,3
160413995463,117,3,2018-04-29,380.00,0.00,380.00,3
160413995463,117,4,2018-05-29,380.00,0.00,380.00,3
160413995463,117,5,2018-06-29,380.00,0.00,380.00,3
160413995463,117,6,2018-07-29,380.00,0.00,380.00,3
160413995463,117,7,2018-08-29,380.00,0.00,380.00,3
160413995463,117,8,2018-09-29,380.00,0.00,380.00,3
160413995463,117,9,2018-10-29,380.00,0.00,380.00,3
160413995463,117,10,2018-11-29,380.00,0.00,380.00,3
160413995463,117,11,2018-12-29,380.00,0.00,380.00,3
160413995463,117,12,2019-01-29,380.00,0.00,380.00,3
