协议编号,借据编号,借据金额,借据币种,剩余本金,借据利率,借据期限,期限单位,还款方式,还款顺序,罚息利率,提前还款标志,提前还款费率,展期标志,展期费率,生效日期,到期日期,借据状态,欠款期数,起欠期数,欠还利息,欠还本金,欠还金额
220139593239,107,1849000.00,156,1849000.00,12.0,12,1,0,0,1.2,1,0.0,0,4.0,2018-04-30,2019-04-30,0,0,0,0.00,0.00,0.00
180785670956,108,204000.00,156,204000.00,10.8,12,1,2,0,0.5,1,0.0,0,5.0,2018-01-27,2019-01-27,0,0,0,0.00,0.00,0.00
070577007374,106,49000.00,156,49000.00,10.8,6,1,0,0,1.2,0,3.0,1,0.0,2018-05-03,2018-11-03,0,0,0,0.00,0.00,0.00
220176258010,103,13000.00,156,13000.00,12.0,24,1,0,0,0.5,1,0.0,0,4.0,2018-04-28,2020-04-28,0,0,0,0.00,0.00,0.00
130983431006,106,231000.00,156,231000.00,8.4,3,1,1,0,1.5,1,0.0,0,4.0,2018-07-09,2018-10-09,0,0,0,0.00,0.00,0.00
040932839370,100,63000.00,156,63000.00,10.8,18,1,0,0,0.8,1,0.0,0,5.0,2018-01-07,2019-07-07,0,0,0,0.00,0.00,0.00
240810886171,105,280000.00,156,280000.00,8.4,18,1,1,0,1.5,1,0.0,0,4.0,2018-04-17,2019-10-17,0,0,0,0.00,0.00,0.00
060900193239,108,2363000.00,156,2363000.00,12.0,12,1,0,0,1.2,0,3.0,0,4.0,2018-03-17,2019-03-17,0,0,0,0.00,0.00,0.00
271000589102,109,51000.00,156,51000.00,12.0,6,1,2,0,1.0,0,1.0,0,3.0,2018-05-09,2018-11-09,0,0,0,0.00,0.00,0.00
290233371456,110,17000.00,156,17000.00,10.8,6,1,2,0,0.8,0,3.0,1,0.0,2018-05-10,2018-11-10,0,0,0,0.00,0.00,0.00
210758286976,104,1788000.00,156,1788000.00,7.2,3,1,2,0,1.2,0,3.0,1,0.0,2018-03-03,2018-06-03,0,0,0,0.00,0.00,0.00
250804825245,108,297000.00,156,297000.00,12.0,6,1,0,0,1.5,0,2.0,1,0.0,2018-01-22,2018-07-22,0,0,0,0.00,0.00,0.00
