协议编号,借据编号,还款期数,还款日期,实还利息,实还本金,还款金额,还款标志
220139593239,107,1,2018-05-30,18490.00,145791.41,164281.41,1
220139593239,107,2,2018-06-30,17032.09,147249.32,164281.41,1
220139593239,107,3,2018-07-30,15559.59,148721.82,164281.41,1
220139593239,107,4,2018-08-30,14072.37,150209.04,164281.41,1
220139593239,107,5,2018-09-30,12570.28,151711.13,164281.41,1
220139593239,107,6,2018-10-30,11053.17,153228.24,164281.41,1
220139593239,107,7,2018-11-30,9520.89,154760.52,164281.41,1
220139593239,107,8,2018-12-30,7973.29,156308.12,164281.41,1
220139593239,107,9,2019-01-30,6410.20,157871.21,164281.41,1
220139593239,107,10,2019-02-28,4831.49,159449.92,164281.41,1
180785670956,108,1,2018-02-27,1836.00,0.00,1836.00,1
180785670956,108,2,2018-03-27,1836.00,0.00,1836.00,1
180785670956,108,3,2018-04-27,1836.00,0.00,1836.00,1
180785670956,108,4,2018-05-27,1836.00,0.00,1836.00,1
180785670956,108,5,2018-06-27,1836.00,0.00,1836.00,1
180785670956,108,6,2018-07-27,1836.00,0.00,1836.00,1
180785670956,108,7,2018-08-27,1836.00,0.00,1836.00,1
070577007374,106,1,2018-06-03,441.00,7984.84,8425.84,1
070577007374,106,2,2018-07-03,369.14,8056.70,8425.84,1
070577007374,106,3,2018-08-03,296.63,8129.21,8425.84,1
070577007374,106,4,2018-09-03,223.46,8202.38,8425.84,1
070577007374,106,5,2018-10-03,149.64,8276.20,8425.84,1
070577007374,106,6,2018-11-03,75.17,8350.67,8425.84,1
220176258010,103,1,2018-05-28,130.00,481.96,611.96,1
220176258010,103,2,2018-06-28,125.18,486.78,611.96,1
220176258010,103,3,2018-07-28,120.31,491.65,611.96,1
220176258010,103,4,2018-08-28,115.40,496.56,611.96,1
220176258010,103,5,2018-09-28,110.43,501.53,611.96,1
220176258010,103,6,2018-10-28,105.42,506.54,611.96,1
220176258010,103,7,2018-11-28,100.35,511.61,611.96,1
220176258010,103,8,2018-12-28,95.23,516.73,611.96,1
220176258010,103,9,2019-01-28,90.07,521.89,611.96,1
220176258010,103,10,2019-02-28,84.85,527.11,611.96,1
220176258010,103,11,2019-03-28,79.58,532.38,611.96,1
220176258010,103,12,2019-04-28,74.25,537.71,611.96,1
220176258010,103,13,2019-05-28,68.88,543.08,611.96,1
220176258010,103,14,2019-06-28,63.45,548.51,611.96,1
130983431006,106,1,2018-08-09,1617.00,77000.00,78617.00,1
130983431006,106,2,2018-09-09,1078.00,77000.00,78078.00,1
130983431006,106,3,2018-10-09,539.00,77000.00,77539.00,1
040932839370,100,1,2018-02-07,567.00,3239.84,3806.84,1
040932839370,100,2,2018-03-07,537.84,3269.00,3806.84,1
040932839370,100,3,2018-04-07,508.42,3298.42,3806.84,1
040932839370,100,4,2018-05-07,478.73,3328.11,3806.84,1
040932839370,100,5,2018-06-07,448.78,3358.06,3806.84,1
040932839370,100,6,2018-07-07,418.56,3388.28,3806.84,1
040932839370,100,7,2018-08-07,388.06,3418.78,3806.84,1
040932839370,100,8,2018-09-07,357.30,3449.54,3806.84,1
040932839370,100,9,2018-10-07,326.25,3480.59,3806.84,1
040932839370,100,10,2018-11-07,294.92,3511.92,3806.84,1
040932839370,100,11,2018-12-07,263.32,3543.52,3806.84,1
040932839370,100,12,2019-01-07,231.43,3575.41,3806.84,1
040932839370,100,13,2019-02-07,199.25,3607.59,3806.84,1
040932839370,100,14,2019-03-07,166.78,3640.06,3806.84,1
040932839370,100,15,2019-04-07,134.02,3672.82,3806.84,1
040932839370,100,16,2019-05-07,100.96,3705.88,3806.84,1
040932839370,100,17,2019-06-07,67.61,3739.23,3806.84,1
040932839370,100,18,2019-07-07,33.89,3772.95,3806.84,1
240810886171,105,1,2018-05-17,1960.00,15555.48,17515.48,1
240810886171,105,2,2018-06-17,1851.11,15555.56,17406.67,1
240810886171,105,3,2018-07-17,1742.22,15555.56,17297.78,1
240810886171,105,4,2018-08-17,1633.33,15555.56,17188.89,1
060900193239,108,1,2018-04-17,23630.00,186319.69,209949.69,1
060900193239,108,2,2018-05-17,21766.80,188182.89,209949.69,1
060900193239,108,3,2018-06-17,19884.97,190064.72,209949.69,1
060900193239,108,4,2018-07-17,17984.33,191965.36,209949.69,1
060900193239,108,5,2018-08-17,16064.67,193885.02,209949.69,1
060900193239,108,6,2018-09-17,14125.82,195823.87,209949.69,1
060900193239,108,7,2018-10-17,12167.58,197782.11,209949.69,1
060900193239,108,8,2018-11-17,10189.76,199759.93,209949.69,1
060900193239,108,9,2018-12-17,8192.16,201757.53,209949.69,1
271000589102,109,1,2018-06-09,510.00,0.00,510.00,1
271000589102,109,2,2018-07-09,510.00,0.00,510.00,1
271000589102,109,3,2018-08-09,510.00,0.00,510.00,1
290233371456,110,1,2018-06-10,153.00,0.00,153.00,1
290233371456,110,2,2018-07-10,153.00,0.00,153.00,1
290233371456,110,3,2018-08-10,153.00,0.00,153.00,1
290233371456,110,4,2018-09-10,153.00,0.00,153.00,1
290233371456,110,5,2018-10-10,153.00,0.00,153.00,1
290233371456,110,6,2018-11-10,153.00,17000.00,17153.00,1
210758286976,104,1,2018-04-03,10728.00,0.00,10728.00,1
210758286976,104,2,2018-05-03,10728.00,0.00,10728.00,1
210758286976,104,3,2018-06-03,10728.00,1788000.00,1798728.00,1
040314660045,110,1,2018-06-05,2106.00,38131.67,40237.67,1
040314660045,110,2,2018-07-05,1762.81,38474.86,40237.67,1
040314660045,110,3,2018-08-05,1416.54,38821.13,40237.67,1
040314660045,110,4,2018-09-05,1067.15,39170.52,40237.67,1
040314660045,110,5,2018-10-05,714.62,39523.05,40237.67,1
040314660045,110,6,2018-11-05,358.90,39878.77,40237.67,1
251533251213,120,1,2018-03-07,4896.00,0.00,4896.00,1
200417440082,114,1,2018-03-22,29115.00,134791.59,163906.59,1
200417440082,114,2,2018-04-22,27901.88,134791.67,162693.54,1
200417440082,114,3,2018-05-22,26688.75,134791.67,161480.42,1
200417440082,114,4,2018-06-22,25475.62,134791.67,160267.29,1
200417440082,114,5,2018-07-22,24262.50,134791.67,159054.17,1
200417440082,114,6,2018-08-22,23049.37,134791.67,157841.04,1
180922887334,112,1,2018-07-13,204.00,11333.34,11537.34,1
180922887334,112,2,2018-08-13,136.00,11333.33,11469.33,1
180922887334,112,3,2018-09-13,68.00,11333.33,11401.33,1
110206431171,107,1,2018-02-21,654.00,4236.10,4890.10,1
110206431171,107,2,2018-03-21,628.58,4261.52,4890.10,1
110206431171,107,3,2018-04-21,603.01,4287.09,4890.10,1
080813930886,108,1,2018-05-09,294.00,0.00,294.00,1
080813930886,108,2,2018-06-09,294.00,0.00,294.00,1
080813930886,108,3,2018-07-09,294.00,0.00,294.00,1
080813930886,108,4,2018-08-09,294.00,0.00,294.00,1
080813930886,108,5,2018-09-09,294.00,0.00,294.00,1
080813930886,108,6,2018-10-09,294.00,0.00,294.00,1
080813930886,108,7,2018-11-09,294.00,0.00,294.00,1
111504961725,120,1,2018-02-02,276.00,1787.71,2063.71,1
111504961725,120,2,2018-03-02,265.27,1798.44,2063.71,1
111504961725,120,3,2018-04-02,254.48,1809.23,2063.71,1
111504961725,120,4,2018-05-02,243.63,1820.08,2063.71,1
111504961725,120,5,2018-06-02,232.71,1831.00,2063.71,1
111504961725,120,6,2018-07-02,221.72,1841.99,2063.71,1
111504961725,120,7,2018-08-02,210.67,1853.04,2063.71,1
111504961725,120,8,2018-09-02,199.55,1864.16,2063.71,1
111504961725,120,9,2018-10-02,188.37,1875.34,2063.71,1
111504961725,120,10,2018-11-02,177.11,1886.60,2063.71,1
111504961725,120,11,2018-12-02,165.79,1897.92,2063.71,1
111504961725,120,12,2019-01-02,154.41,1909.30,2063.71,1
111504961725,120,13,2019-02-02,142.95,1920.76,2063.71,1
111504961725,120,14,2019-03-02,131.43,1932.28,2063.71,1
111504961725,120,15,2019-04-02,119.83,1943.88,2063.71,1
111504961725,120,16,2019-05-02,108.17,1955.54,2063.71,1
111504961725,120,17,2019-06-02,96.44,1967.27,2063.71,1
111504961725,120,18,2019-07-02,84.63,1979.08,2063.71,1
111504961725,120,19,2019-08-02,72.76,1990.95,2063.71,1
111504961725,120,20,2019-09-02,60.81,2002.90,2063.71,1
111504961725,120,21,2019-10-02,48.79,2014.92,2063.71,1
111504961725,120,22,2019-11-02,36.71,2027.00,2063.71,1
111504961725,120,23,2019-12-02,24.54,2039.17,2063.71,1
111504961725,120,24,2020-01-02,12.27,2051.44,2063.71,1
410043330694,109,1,2018-05-25,4644.00,40848.53,45492.53,1
410043330694,109,2,2018-06-25,4398.91,41093.62,45492.53,1
410043330694,109,3,2018-07-25,4152.35,41340.18,45492.53,1
410043330694,109,4,2018-08-25,3904.31,41588.22,45492.53,1
410043330694,109,5,2018-09-25,3654.78,41837.75,45492.53,1
410043330694,109,6,2018-10-25,3403.75,42088.78,45492.53,1
261087765958,119,1,2018-05-13,15288.00,152363.95,167651.95,1
261087765958,119,2,2018-06-13,14069.09,153582.86,167651.95,1
180937418435,114,1,2018-03-16,2072.00,0.00,2072.00,1
180937418435,114,2,2018-04-16,2072.00,0.00,2072.00,1
180937418435,114,3,2018-05-16,2072.00,259000.00,261072.00,1
131770998358,100,1,2018-02-03,24402.00,1347565.11,1371967.11,1
060972698633,108,1,2018-05-07,114.00,1055.48,1169.48,1
271479596712,120,1,2018-06-06,1407.00,33500.00,34907.00,1
271479596712,120,2,2018-07-06,1172.50,33500.00,34672.50,1
271479596712,120,3,2018-08-06,938.00,33500.00,34438.00,1
271479596712,120,4,2018-09-06,703.50,33500.00,34203.50,1
271479596712,120,5,2018-10-06,469.00,33500.00,33969.00,1
271479596712,120,6,2018-11-06,234.50,33500.00,33734.50,1
250836155270,103,1,2018-07-09,7344.00,73192.10,80536.10,1
250836155270,103,2,2018-08-09,6758.46,73777.64,80536.10,1
250836155270,103,3,2018-09-09,6168.24,74367.86,80536.10,1
250836155270,103,4,2018-10-09,5573.30,74962.80,80536.10,1
250836155270,103,5,2018-11-09,4973.60,75562.50,80536.10,1
151173971176,103,1,2018-02-15,4104.00,38000.00,42104.00,1
161026779603,106,1,2018-02-15,6440.00,38333.41,44773.41,1
161026779603,106,2,2018-03-15,6171.67,38333.33,44505.00,1
161026779603,106,3,2018-04-15,5903.33,38333.33,44236.67,1
161026779603,106,4,2018-05-15,5635.00,38333.33,43968.33,1
161026779603,106,5,2018-06-15,5366.67,38333.33,43700.00,1
161026779603,106,6,2018-07-15,5098.33,38333.33,43431.67,1
161026779603,106,7,2018-08-15,4830.00,38333.33,43163.33,1
161026779603,106,8,2018-09-15,4561.67,38333.33,42895.00,1
161026779603,106,9,2018-10-15,4293.33,38333.33,42626.67,1
161026779603,106,10,2018-11-15,4025.00,38333.33,42358.33,1
070866907361,101,1,2018-06-01,2640.00,23221.39,25861.39,1
070866907361,101,2,2018-07-01,2500.67,23360.72,25861.39,1
070866907361,101,3,2018-08-01,2360.51,23500.88,25861.39,1
060937642747,107,1,2018-07-03,310.00,1722.26,2032.26,1
060937642747,107,2,2018-08-03,292.78,1722.22,2015.00,1
060937642747,107,3,2018-09-03,275.56,1722.22,1997.78,1
271467053373,113,1,2018-06-22,6888.00,328000.00,334888.00,1
271467053373,113,2,2018-07-22,4592.00,328000.00,332592.00,1
271467053373,113,3,2018-08-22,2296.00,328000.00,330296.00,1
150216277816,109,1,2018-02-01,1269.00,11179.66,12448.66,1
070645470647,120,1,2018-02-28,17037.00,625354.92,642391.92,1
070645470647,120,2,2018-03-28,11408.81,630983.11,642391.92,1
070645470647,120,3,2018-04-28,5729.95,636661.97,642391.92,1
070572898435,108,1,2018-02-13,2886.00,20041.59,22927.59,1
070572898435,108,2,2018-03-13,2765.75,20041.67,22807.42,1
070572898435,108,3,2018-04-13,2645.50,20041.67,22687.17,1
070572898435,108,4,2018-05-13,2525.25,20041.67,22566.92,1
070572898435,108,5,2018-06-13,2405.00,20041.67,22446.67,1
070572898435,108,6,2018-07-13,2284.75,20041.67,22326.42,1
070572898435,108,7,2018-08-13,2164.50,20041.67,22206.17,1
070572898435,108,8,2018-09-13,2044.25,20041.67,22085.92,1
070572898435,108,9,2018-10-13,1924.00,20041.67,21965.67,1
070572898435,108,10,2018-11-13,1803.75,20041.67,21845.42,1
070572898435,108,11,2018-12-13,1683.50,20041.67,21725.17,1
070572898435,108,12,2019-01-13,1563.25,20041.67,21604.92,1
070572898435,108,13,2019-02-13,1443.00,20041.67,21484.67,1
070572898435,108,14,2019-03-13,1322.75,20041.67,21364.42,1
260288489965,113,1,2018-06-25,24849.00,230083.37,254932.37,1
