协议编号,借据编号,还款期数,应还日期,应还利息,应还本金,应还本息,还款标志
220139593239,107,1,2018-05-30,18490.00,145791.41,164281.41,0
220139593239,107,2,2018-06-30,17032.09,147249.32,164281.41,0
220139593239,107,3,2018-07-30,15559.59,148721.82,164281.41,0
220139593239,107,4,2018-08-30,14072.37,150209.04,164281.41,0
220139593239,107,5,2018-09-30,12570.28,151711.13,164281.41,0
220139593239,107,6,2018-10-30,11053.17,153228.24,164281.41,0
220139593239,107,7,2018-11-30,9520.89,154760.52,164281.41,0
220139593239,107,8,2018-12-30,7973.29,156308.12,164281.41,0
220139593239,107,9,2019-01-30,6410.20,157871.21,164281.41,0
220139593239,107,10,2019-02-28,4831.49,159449.92,164281.41,0
220139593239,107,11,2019-03-30,3236.99,161044.42,164281.41,0
220139593239,107,12,2019-04-30,1626.56,162654.85,164281.41,0
180785670956,108,1,2018-02-27,1836.00,0.00,1836.00,0
180785670956,108,2,2018-03-27,1836.00,0.00,1836.00,0
180785670956,108,3,2018-04-27,1836.00,0.00,1836.00,0
180785670956,108,4,2018-05-27,1836.00,0.00,1836.00,0
180785670956,108,5,2018-06-27,1836.00,0.00,1836.00,0
180785670956,108,6,2018-07-27,1836.00,0.00,1836.00,0
180785670956,108,7,2018-08-27,1836.00,0.00,1836.00,0
180785670956,108,8,2018-09-27,1836.00,0.00,1836.00,0
180785670956,108,9,2018-10-27,1836.00,0.00,1836.00,0
180785670956,108,10,2018-11-27,1836.00,0.00,1836.00,0
180785670956,108,11,2018-12-27,1836.00,0.00,1836.00,0
180785670956,108,12,2019-01-27,1836.00,204000.00,205836.00,0
070577007374,106,1,2018-06-03,441.00,7984.84,8425.84,0
070577007374,106,2,2018-07-03,369.14,8056.70,8425.84,0
070577007374,106,3,2018-08-03,296.63,8129.21,8425.84,0
070577007374,106,4,2018-09-03,223.46,8202.38,8425.84,0
070577007374,106,5,2018-10-03,149.64,8276.20,8425.84,0
070577007374,106,6,2018-11-03,75.17,8350.67,8425.84,0
220176258010,103,1,2018-05-28,130.00,481.96,611.96,0
220176258010,103,2,2018-06-28,125.18,486.78,611.96,0
220176258010,103,3,2018-07-28,120.31,491.65,611.96,0
